original_plot_filename	embedded_sha256	local_candidate	local_sha256	byte_identical	status	embedded_page_count	embedded_page_sizes	local_page_count	local_page_sizes	text_similarity	render_mean_absolute_difference	render_changed_pixel_fraction	metadata_differences
TP_MRCA_drivergenes_association.pdf	a35662d209e4f1d1ed3e3f6d1841b029d46fc6791c6647d949987e29320d49ce	biowulf/TP_MRCA_drivergenes_association.pdf	a35662d209e4f1d1ed3e3f6d1841b029d46fc6791c6647d949987e29320d49ce	True	byte-identical	1	[[0.0, 0.0, 432.0, 288.0]]	1	[[0.0, 0.0, 432.0, 288.0]]	unavailable: both PDFs have no extractable text			{}
tp_age_clock_mutation_acc.pdf	371f9271f75d41e51c16cc461cc98a3cbc9c5c7db984d124e2d1d6abc7795636	biowulf/tp_age_clock_mutation_acc.pdf	371f9271f75d41e51c16cc461cc98a3cbc9c5c7db984d124e2d1d6abc7795636	True	byte-identical	1	[[0.0, 0.0, 864.0, 360.0]]	1	[[0.0, 0.0, 864.0, 360.0]]	unavailable: both PDFs have no extractable text			{}
TP_genomic_alterations2_final_tmp.pdf	d97c6c6bc500c85c7e2ec22fa7590a24a5277bc66819b8b412838a5371fa0d05	biowulf/TP_genomic_alterations2_final_tmp.pdf	d97c6c6bc500c85c7e2ec22fa7590a24a5277bc66819b8b412838a5371fa0d05	True	byte-identical	1	[[0.0, 0.0, 576.0, 360.0]]	1	[[0.0, 0.0, 576.0, 360.0]]	unavailable: both PDFs have no extractable text			{}
tp_tumor_hetrogenerity_math_ccf_drivers.pdf	1fd461fa526c1593933da7b8ab9c0f6fcb20e2cb1ef439f52f0d5e20bb91ea94	biowulf/tp_tumor_hetrogenerity_math_ccf_drivers.pdf	1fd461fa526c1593933da7b8ab9c0f6fcb20e2cb1ef439f52f0d5e20bb91ea94	True	byte-identical	1	[[0.0, 0.0, 576.0, 360.0]]	1	[[0.0, 0.0, 576.0, 360.0]]	unavailable: both PDFs have no extractable text			{}
tp_tumor_hetrogenerity_math_ccf_drivers2.pdf	404bf2a30d317b5bfd3d0da7eb074349e71d61bbc80c27b8749382fd30023329	biowulf/tp_tumor_hetrogenerity_math_ccf_drivers2.pdf	404bf2a30d317b5bfd3d0da7eb074349e71d61bbc80c27b8749382fd30023329	True	byte-identical	1	[[0.0, 0.0, 792.0, 576.0]]	1	[[0.0, 0.0, 792.0, 576.0]]	unavailable: both PDFs have no extractable text			{}
TCGA-EM-A3FJ-01A-11D-A85U-36_DPClust.pdf	b5d12338151934793fd6fce39ab641275d0388133358e160c00418b42ab60440				no exact-basename file in biowulf	1	[[0.0, 0.0, 1152.0, 432.0]]						""
TCGA-EL-A3H3-01A-11D-A85S-36_DPClust.pdf	088bfc0dd1b6139ca3fbfcb016f1340b06192cc65da76ae528ded4c624899181				no exact-basename file in biowulf	1	[[0.0, 0.0, 1152.0, 432.0]]						""
TP_mrca_group_braf_tert.pdf	0683e2af1b88e4e09e395dfeff26080871ba09bb4d96e190035393e4f1da5b3a	biowulf/TP_mrca_group_braf_tert.pdf	0683e2af1b88e4e09e395dfeff26080871ba09bb4d96e190035393e4f1da5b3a	True	byte-identical	1	[[0.0, 0.0, 360.0, 360.0]]	1	[[0.0, 0.0, 360.0, 360.0]]	unavailable: both PDFs have no extractable text			{}
tp_apobec_braf_tert.pdf	9fbbd2f9084db5539420490843532afeee9072d0b0c3f3b14fc90eed6561b708	biowulf/tp_apobec_braf_tert.pdf	9fbbd2f9084db5539420490843532afeee9072d0b0c3f3b14fc90eed6561b708	True	byte-identical	1	[[0.0, 0.0, 360.0, 360.0]]	1	[[0.0, 0.0, 360.0, 360.0]]	unavailable: both PDFs have no extractable text			{}
age_tert_braf.pdf	9603ef2dcf92a23aff1ad2ce2970ebd0f5c871eb82f9711a6185018ce9a9cd91	biowulf/age_tert_braf.pdf	9603ef2dcf92a23aff1ad2ce2970ebd0f5c871eb82f9711a6185018ce9a9cd91	True	byte-identical	1	[[0.0, 0.0, 360.0, 360.0]]	1	[[0.0, 0.0, 360.0, 360.0]]	unavailable: both PDFs have no extractable text			{}
TCGA-BJ-A2P4-01A-11D-A85F-36_SCNA.pdf	3bf1f7b7920d43124514546e822f6cc18f55369b121cd579745851bcf0dbd4bf				no exact-basename file in biowulf	1	[[0.0, 0.0, 1008.0, 720.0]]						""
TCGA-DJ-A2PS-01A-11D-A85G-36_SCNA.pdf	076fe8be64fd2b013abb3dc2b9dca0340d548f2768a6efcb594577d7a9e96daa				no exact-basename file in biowulf	1	[[0.0, 0.0, 1008.0, 720.0]]						""
TCGA-BJ-A3PT-01A-12D-A85F-36_SCNA.pdf	176a6c5bea792ae999b573a965adb04a9ce2f7e6e385f9eb68a87106c281aa79				no exact-basename file in biowulf	1	[[0.0, 0.0, 1008.0, 720.0]]						""
drivers_minCCF.pdf	6540dfb033fa972e604cecb32036da07eebd4040ba8411b8e8b9e89218eed283				no exact-basename file in biowulf	1	[[0.0, 0.0, 648.0, 360.0]]						""
