keynote_slide	slide_id	object_id	object_type	parent_object_id	iwa_file	x	y	width	height	angle	text	data_id	original_plot_filename	package_file_name	is_preview
4	877857	1285891	3005		Index/Slide-877857.iwa	306.7383117675781	434.5381774902344	261.2989196777344	261.2989196777344	0.0		12584	drivers_number_subclones-small.png	drivers_number_subclones-small-12584.png	True
4	877857	1285891	3005		Index/Slide-877857.iwa	306.7383117675781	434.5381774902344	261.2989196777344	261.2989196777344	0.0		12583	drivers_number_subclones.pdf	drivers_number_subclones-12583.pdf	False
4	877857	1305537	3005		Index/Slide-877857.iwa	47.556026458740234	252.97396850585938	298.899658203125	191.80726623535156	0.0		12952	tp_tumor_hetrogenerity_math_ccf_drivers2_all.pdf	tp_tumor_hetrogenerity_math_ccf_drivers2_all-12952.pdf	False
4	877857	1305537	3005		Index/Slide-877857.iwa	47.556026458740234	252.97396850585938	298.899658203125	191.80726623535156	0.0		12953	tp_tumor_hetrogenerity_math_ccf_drivers2_all-small.png	tp_tumor_hetrogenerity_math_ccf_drivers2_all-small-12953.png	True
4	877857	1285819	3005		Index/Slide-877857.iwa	58.19697189331055	456.69549560546875	251.04122924804688	202.63417053222656	0.0		12576	NRPCC_threshold-small.png	NRPCC_threshold-small-12576.png	True
4	877857	1285819	3005		Index/Slide-877857.iwa	58.19697189331055	456.69549560546875	251.04122924804688	202.63417053222656	0.0		12575	NRPCC_threshold.pdf	NRPCC_threshold-12575.pdf	False
4	877857	1303194	3005		Index/Slide-877857.iwa	50.38068389892578	98.73335266113281	221.91061401367188	133.14637756347656	0.0		12921	tp_tumor_hetrogenerity_math_ccf2.pdf	tp_tumor_hetrogenerity_math_ccf2-12921.pdf	False
4	877857	1303194	3005		Index/Slide-877857.iwa	50.38068389892578	98.73335266113281	221.91061401367188	133.14637756347656	0.0		12922	tp_tumor_hetrogenerity_math_ccf2-small.png	tp_tumor_hetrogenerity_math_ccf2-small-12922.png	True
4	877857	1305162	3005		Index/Slide-877857.iwa	293.59942626953125	94.96653747558594	266.0744323730469	159.6446533203125	0.0		12947	tp_tumor_hetrogenerity_math_ccf_drivers_all-small.png	tp_tumor_hetrogenerity_math_ccf_drivers_all-small-12947.png	True
4	877857	1305162	3005		Index/Slide-877857.iwa	293.59942626953125	94.96653747558594	266.0744323730469	159.6446533203125	0.0		12946	tp_tumor_hetrogenerity_math_ccf_drivers_all.pdf	tp_tumor_hetrogenerity_math_ccf_drivers_all-12946.pdf	False
5	997193	1286060	3005		Index/Slide-997193.iwa	24.46942710876465	87.7485580444336	233.26202392578125	155.50799560546875	0.0		12596	TP_mutation_cluster_distribution.pdf	TP_mutation_cluster_distribution-12596.pdf	False
5	997193	1286060	3005		Index/Slide-997193.iwa	24.46942710876465	87.7485580444336	233.26202392578125	155.50799560546875	0.0		12597	TP_mutation_cluster_distribution-small.png	TP_mutation_cluster_distribution-small-12597.png	True
5	997193	1286112	3005		Index/Slide-997193.iwa	259.6122131347656	78.02930450439453	349.89300537109375	174.94650268554688	0.0		12603	TP_mutation_cluster_clonality-small.png	TP_mutation_cluster_clonality-small-12603.png	True
5	997193	1286112	3005		Index/Slide-997193.iwa	259.6122131347656	78.02930450439453	349.89300537109375	174.94650268554688	0.0		12602	TP_mutation_cluster_clonality.pdf	TP_mutation_cluster_clonality-12602.pdf	False
5	997193	1286201	3005		Index/Slide-997193.iwa	43.27211380004883	263.8848876953125	204.88877868652344	136.59251403808594	0.0		12612	TP_largesubclonal_association-small.png	TP_largesubclonal_association-small-12612.png	True
5	997193	1286201	3005		Index/Slide-997193.iwa	43.27211380004883	263.8848876953125	204.88877868652344	136.59251403808594	0.0		12611	TP_largesubclonal_association.pdf	TP_largesubclonal_association-12611.pdf	False
5	997193	1286256	3005		Index/Slide-997193.iwa	248.09732055664062	257.5019226074219	349.89300537109375	155.50799560546875	0.0		12618	TP_largesubclonal_association2-small.png	TP_largesubclonal_association2-small-12618.png	True
5	997193	1286256	3005		Index/Slide-997193.iwa	248.09732055664062	257.5019226074219	349.89300537109375	155.50799560546875	0.0		12617	TP_largesubclonal_association2.pdf	TP_largesubclonal_association2-12617.pdf	False
6	877692	1310742	3005		Index/Slide-877692.iwa	12.570415496826172	294.02301025390625	270.8067321777344	157.97059631347656	0.0		12625	TP_Latency_associaiton_exposure.pdf	TP_Latency_associaiton_exposure-12625.pdf	False
6	877692	1310742	3005		Index/Slide-877692.iwa	12.570415496826172	294.02301025390625	270.8067321777344	157.97059631347656	0.0		12626	TP_Latency_associaiton_exposure-small.png	TP_Latency_associaiton_exposure-small-12626.png	True
