manuscript_id	figure_id	panel_id	legend_paragraph_id	legend_snippet	source_docx_sha256
Fig. 4a	Fig. 4	a	p0145	a, Distributions of inferred CCFs for clonal and subclonal mutation clusters across the three cohorts. Dashed lines indicate the recurrent subclonal peak at CCF 0.20–0.25 and the clonal peak near 1.0.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 4b	Fig. 4	b	p0145	b, Relationship between CCF and the proportion of mutations assigned to each cluster, stratified by cohort and subclonal mutation-burden state. Red points denote clonal clusters; cyan and green points denote mutation-rich and mutation-poor subclonal clusters, respectively; point size represents the proportion of mutations assigned to each cluster.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 4c	Fig. 4	c	p0145	c, Associations of recurrent genomic alterations with high versus low subclonal mutation burden in the combined cohort.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 4d	Fig. 4	d	p0145	d, Corresponding associations within each cohort. In c,d, the x axes show log2 odds ratios from Fisher’s exact tests and the y axes show −log10(P values). Horizontal dashed lines denote P < 0.05 (lower) and FDR < 0.05 (upper); alterations with P < 0.05 are labelled.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 4e	Fig. 4	e	p0145	e, Schematic phylogenetic trees illustrating a BRAF-associated architecture characterized by mutation-rich subclonal expansion, with subclonal 22q loss in a subset of tumors (top), and a clonal-dominant architecture associated with KRAS, TERT-promoter mutation, oncogenic fusions or clonal 22q loss, including BRAF plus TERT tumors (bottom). Schematics summarize recurrent associations and do not imply a fixed order of evolutionary events.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 5a	Fig. 5	a	p0146	a, Associations of recurrent genomic alterations with age at diagnosis, age at exposure and radiation dose. The x axis shows the effect estimate and the y axis shows −log10(FDR); symbol shape denotes alteration type and colour denotes the age or exposure variable.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 5b	Fig. 5	b	p0146	b–d, Age-stratified frequencies of TERT-promoter mutation (b), BRAF mutation (c) and oncogenic fusions (d) by cohort. Point size indicates the number of tumors in each age group.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 5c	Fig. 5	c	p0146	b–d, Age-stratified frequencies of TERT-promoter mutation (b), BRAF mutation (c) and oncogenic fusions (d) by cohort. Point size indicates the number of tumors in each age group.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 5d	Fig. 5	d	p0146	b–d, Age-stratified frequencies of TERT-promoter mutation (b), BRAF mutation (c) and oncogenic fusions (d) by cohort. Point size indicates the number of tumors in each age group.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 5e	Fig. 5	e	p0146	e, Associations of clinical, ancestry and exposure variables with inferred tumor latency combined cohorts. Points and error bars show regression coefficients and confidence intervals, respectively; β coefficients and P values are shown.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 5f	Fig. 5	f	p0146	f, Associations of recurrent genomic alterations with inferred tumor latency.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 5g	Fig. 5	g	p0146	g, Associations of recurrent genomic alterations with inferred age at the most recent common ancestor (MRCA). In f and g, the x axis shows the regression coefficient and the y axis shows −log10(FDR). Dashed lines denote FDR = 0.05.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
Fig. 6a	Fig. 6	a	p0147	a, Clonal SBS1 plus SBS5 mutation burden as a function of age at diagnosis in TCGA-THCA. Segmented regression identified a breakpoint at 52.2 years (95% confidence interval, 45.8–58.7 years), with age-associated slopes of 4.7 ± 1.5 mutations per year before and 15.8 ± 1.8 mutations per year after the breakpoint. Red-inlined points indicate tumors harboring TERT-promoter mutations.	d065cc5c5f705fd821d4b2f7c0b8885e702dc0dbb1b890e638713f07aca401e6
