keynote_slide	slide_id	object_id	object_type	parent_object_id	iwa_file	x	y	width	height	angle	text
2	25658	38944	2011		Index/Slide.iwa	44.77383804321289	19.689342498779297	55.900001525878906	26.046875	0.0	Fig. 1
2	25658	38961	2011		Index/Slide.iwa	43.10264587402344	59.09513473510742	21.671327590942383	26.046875	0.0	a
2	25658	38954	2011		Index/Slide.iwa	313.7091369628906	59.09513473510742	21.671327590942383	26.046875	0.0	b
2	25658	38950	2011		Index/Slide.iwa	43.10264587402344	209.07513427734375	21.671327590942383	26.046875	0.0	c
2	25658	52673	2011		Index/Slide.iwa	396.56414794921875	215.645263671875	21.671327590942383	26.046875	0.0	d
2	25658	440460	2011		Index/Slide.iwa	396.56414794921875	356.6549377441406	21.671327590942383	26.046875	0.0	f
2	25658	932810	2011		Index/Slide.iwa	465.6953125	321.99346923828125	21.671327590942383	26.046875	0.0	e
2	25658	1220114	2011		Index/Slide.iwa	48.06636428833008	629.7743530273438	21.671327590942383	26.046875	0.0	h
2	25658	1311822	2011		Index/Slide.iwa	48.06636428833008	455.68280029296875	21.671327590942383	26.046875	0.0	g
2	25658	1311938	2011		Index/Slide.iwa	272.04827880859375	629.7743530273438	21.671327590942383	26.046875	0.0	i
3	878187	878210	2011		Index/Slide-878187.iwa	44.77383804321289	19.022676467895508	55.900001525878906	26.046875	0.0	Fig. 2
3	878187	878221	2011		Index/Slide-878187.iwa	45.58461380004883	76.18800354003906	21.671327590942383	26.046875	0.0	a
3	878187	878254	2011		Index/Slide-878187.iwa	465.374755859375	76.18800354003906	21.671327590942383	26.046875	0.0	b
3	878187	878248	2011		Index/Slide-878187.iwa	45.58461380004883	329.0716552734375	21.671327590942383	26.046875	0.0	c
3	878187	878204	2011		Index/Slide-878187.iwa	269.0130920410156	329.0716552734375	21.671327590942383	26.046875	0.0	d
4	877857	877880	2011		Index/Slide-877857.iwa	44.77383804321289	19.689342498779297	55.900001525878906	26.046875	0.0	Fig. 3
4	877857	877891	2011		Index/Slide-877857.iwa	61.88817596435547	63.98963165283203	21.671327590942383	26.046875	0.0	a
4	877857	877924	2011		Index/Slide-877857.iwa	295.1643371582031	72.35162353515625	21.671327590942383	26.046875	0.0	b
4	877857	877874	2011		Index/Slide-877857.iwa	47.734474182128906	443.7173767089844	21.671327590942383	26.046875	0.0	d
4	877857	1314974	2011		Index/Slide-877857.iwa	47.734474182128906	260.3425598144531	21.671327590942383	26.046875	0.0	c
4	877857	877901	2011		Index/Slide-877857.iwa	298.9736022949219	443.7173767089844	21.671327590942383	26.046875	0.0	e
5	997193	1317724	3008		Index/Slide-997193.iwa	53.88825225830078	434.3910217285156	214.76773071289062	75.7483901977539	0.0	""
5	997193	1317758	2011	1317724	Index/Slide-997193.iwa	76.55949401855469	471.1180191040039	34.66143798828125	17.329069137573242	0.0	BRAF
5	997193	1317725	3008	1317724	Index/Slide-997193.iwa	53.88825225830078	434.3910217285156	214.76773071289062	75.7483901977539	0.0	""
5	997193	1317770	2011	1317725	Index/Slide-997193.iwa	129.29217529296875	494.9092674255371	30.578580856323242	4.95698881149292	340.0	""
5	997193	1317774	2011	1317725	Index/Slide-997193.iwa	63.131534576416016	486.4887886047363	63.7629508972168	7.156466960906982	0.0	""
5	997193	1317790	2011	1317725	Index/Slide-997193.iwa	53.88825225830078	484.21187591552734	11.710274696350098	11.710274696350098	0.0	""
5	997193	1317825	2011	1317725	Index/Slide-997193.iwa	127.54881286621094	462.69832038879395	136.27987670898438	3.2865734100341797	20.0	""
5	997193	1317817	2011	1317725	Index/Slide-997193.iwa	123.10231018066406	484.21187591552734	11.710274696350098	11.710274696350098	0.0	""
5	997193	1317755	2011	1317725	Index/Slide-997193.iwa	256.9457015991211	434.3910217285156	11.710274696350098	11.710274696350098	0.0	""
5	997193	1317809	2011	1317725	Index/Slide-997193.iwa	158.03648376464844	498.4291305541992	11.710274696350098	11.710274696350098	0.0	""
5	997193	1317804	2011	1317724	Index/Slide-997193.iwa	117.28058624267578	448.8407335281372	126.20079040527344	22.156341552734375	20.0	chr22q subclone deletion
5	997193	1317726	3008		Index/Slide-997193.iwa	50.74207305908203	525.0567016601562	222.51809692382812	56.54899597167969	0.0	""
5	997193	1317759	2011	1317726	Index/Slide-997193.iwa	200.62256622314453	563.8338966369629	44.36561965942383	5.198747634887695	340.0	""
5	997193	1317819	2011	1317726	Index/Slide-997193.iwa	60.22421932220459	552.9766540527344	136.23806762695312	7.341403961181641	0.0	""
5	997193	1317745	2011	1317726	Index/Slide-997193.iwa	50.74207305908203	550.6409015655518	12.012889862060547	12.012889862060547	0.0	""
5	997193	1317811	2011	1317726	Index/Slide-997193.iwa	201.46016693115234	541.0743408203125	66.67922973632812	3.428475856781006	20.0	""
5	997193	1317739	2011	1317726	Index/Slide-997193.iwa	194.68407440185547	550.6409015655518	12.012889862060547	12.012889862060547	0.0	""
5	997193	1317729	2011	1317726	Index/Slide-997193.iwa	261.2472915649414	525.0567016601562	12.012889862060547	12.012889862060547	0.0	""
5	997193	1317732	2011	1317726	Index/Slide-997193.iwa	233.63040924072266	566.928092956543	12.012889862060547	12.012889862060547	0.0	""
